7 10
1 2 30
1 3 15
1 4 10
2 4 25
2 5 60
3 4 40
3 6 20
4 7 35
5 7 20
6 7 30
1 7 99
8 9
1 3 25
1 4 15
2 5 22
2 7 9
3 5 34
3 8 20
4 5 15
4 6 28
6 7 11
1 8 150
8 14
1 3 25
1 4 5
1 5 25
2 5 22
2 7 9
2 8 20
3 5 34
3 6 20
3 8 32
4 5 15
4 6 28
4 8 22
6 7 11
7 8 70
2 8 100
10 12
7 10 40
2 7 8
7 9 28
6 10 52
4 10 43
3 10 32
1 8 39
2 10 15
1 9 23
5 9 49
3 5 6
1 6 23
4 5 69
100 500
1 12 74
1 34 50
1 39 25
1 50 83
1 51 57
1 60 24
1 61 70
1 68 57
1 75 66
1 78 55
1 79 79
1 99 57
2 7 62
2 10 22
2 26 83
2 27 17
2 36 51
2 40 16
2 41 48
2 65 60
2 70 35
2 75 42
2 78 38
2 86 44
2 94 87
3 5 84
3 8 13
3 18 20
3 21 72
3 22 35
3 24 70
3 25 81
3 77 12
3 96 66
4 17 70
4 25 51
4 28 88
4 29 49
4 33 58
4 45 22
4 48 26
4 69 71
4 82 35
4 83 46
4 85 24
5 12 21
5 31 59
5 36 37
5 40 87
5 47 26
5 49 38
5 71 40
5 76 54
5 77 45
5 78 46
5 79 79
5 89 48
5 91 33
5 93 83
5 94 53
5 97 71
5 99 43
6 7 64
6 11 27
6 24 75
6 48 71
6 53 29
6 56 77
6 58 20
6 60 87
6 79 89
7 49 18
7 51 74
7 73 14
7 98 53
8 11 87
8 22 20
8 32 12
8 39 54
8 41 81
8 49 35
8 53 26
8 66 76
8 68 27
8 86 72
8 98 20
9 20 23
9 32 24
9 44 23
9 46 82
9 49 86
9 58 76
9 65 34
9 75 86
9 76 54
9 85 87
9 87 46
9 88 54
10 22 80
10 23 39
10 33 50
10 36 28
10 50 24
10 58 36
10 65 28
10 100 31
11 12 36
11 21 11
11 26 33
11 36 26
11 48 28
11 57 73
11 59 34
11 68 77
11 71 68
11 74 26
11 76 28
11 77 64
11 89 18
12 29 47
12 41 24
12 48 56
12 52 80
12 57 16
12 78 13
13 23 19
13 43 19
13 44 52
13 51 55
13 57 44
13 90 39
13 91 80
14 16 10
14 21 83
14 27 82
14 28 65
14 38 26
14 66 21
14 74 44
14 84 80
14 89 76
14 92 43
14 94 34
14 97 37
15 23 71
15 36 79
15 49 68
15 80 62
16 21 40
16 34 85
16 50 56
16 64 37
16 66 88
16 80 77
16 86 79
16 87 23
16 98 26
17 18 41
17 19 37
17 30 11
17 46 57
17 53 11
17 54 33
17 97 45
17 99 64
18 19 41
18 29 21
18 31 72
18 35 21
18 83 62
18 100 62
19 24 38
19 32 67
19 72 86
19 74 29
19 89 84
19 90 46
19 96 72
20 31 40
20 48 70
20 59 54
20 63 48
20 81 20
20 91 69
20 93 40
21 27 35
21 31 13
21 37 28
21 42 51
21 54 64
21 70 46
21 71 62
21 76 61
21 77 31
21 79 67
21 86 69
21 92 28
22 23 50
22 27 43
22 34 36
22 48 19
22 49 42
22 84 70
22 87 26
22 91 17
23 25 68
23 51 21
23 53 87
23 58 59
23 61 57
23 76 65
23 80 50
23 84 14
23 98 77
24 29 33
24 45 70
24 54 58
24 73 60
24 90 43
24 91 25
24 93 37
25 37 58
25 40 50
25 41 73
25 47 53
25 48 58
25 56 88
25 78 26
25 84 79
25 95 51
25 96 89
26 50 40
26 89 84
26 92 15
27 33 28
27 35 45
27 36 34
27 62 29
27 78 79
27 85 69
28 38 66
28 40 29
28 48 89
28 56 50
