 = 1 (fib)
2 = 10 (fib)
3 = 100 (fib)
4 = 101 (fib)
5 = 1000 (fib)
6 = 1001 (fib)
7 = 1010 (fib)
8 = 10000 (fib)
9 = 10001 (fib)
10 = 10010 (fib)
17 = 100101 (fib)
50 = 10100100 (fib)
60 = 100001000 (fib)
70 = 100100010 (fib)
123 = 1010000000 (fib)
3456 = 10010100001010000 (fib)
12992 = 10001001000100100101 (fib)
823479 = 1010101001001010010010000000 (fib)
349033 = 100001000001010101010000010 (fib)
12345678 = 1001010000101000100000000000000001 (fib)
99999999 = 10101001010100001010000010101010000010 (fib)
99999998 = 10101001010100001010000010101010000001 (fib)
23231233 = 10101000100100101001010010001000001 (fib)
98765432 = 10101000101010100000001010000000100100 (fib)
